12: 3 0 4 1 5 2
12: 3 0 4 2 1 5
15: 3 0 4 2 5 1
15: 3 0 4 5 1 2
12: 3 0 4 5 2 1
12: 3 0 5 1 2 4
15: 3 0 5 1 4 2
15: 3 0 5 2 1 4
12: 3 0 5 2 4 1
18: 3 0 5 4 1 2
15: 3 0 5 4 2 1
6: 3 1 0 2 4 5
9: 3 1 0 2 5 4
9: 3 1 0 4 2 5
12: 3 1 0 4 5 2
12: 3 1 0 5 2 4
9: 3 1 0 5 4 2
9: 3 1 2 0 4 5
12: 3 1 2 0 5 4
12: 3 1 2 4 0 5
15: 3 1 2 4 5 0
15: 3 1 2 5 0 4
12: 3 1 2 5 4 0
12: 3 1 4 0 2 5
15: 3 1 4 0 5 2
9: 3 1 4 2 0 5
12: 3 1 4 2 5 0
12: 3 1 4 5 0 2
15: 3 1 4 5 2 0
15: 3 1 5 0 2 4
12: 3 1 5 0 4 2
12: 3 1 5 2 0 4
15: 3 1 5 2 4 0
15: 3 1 5 4 0 2
18: 3 1 5 4 2 0
9: 3 2 0 1 4 5
12: 3 2 0 1 5 4
18: 3 2 0 4 1 5
15: 3 2 0 4 5 1
15: 3 2 0 5 1 4
12: 3 2 0 5 4 1
12: 3 2 1 0 4 5
15: 3 2 1 0 5 4
15: 3 2 1 4 0 5
18: 3 2 1 4 5 0
18: 3 2 1 5 0 4
15: 3 2 1 5 4 0
15: 3 2 4 0 1 5
18: 3 2 4 0 5 1
12: 3 2 4 1 0 5
15: 3 2 4 1 5 0
15: 3 2 4 5 0 1
18: 3 2 4 5 1 0
18: 3 2 5 0 1 4
15: 3 2 5 0 4 1
15: 3 2 5 1 0 4
18: 3 2 5 1 4 0
18: 3 2 5 4 0 1
21: 3 2 5 4 1 0
12: 3 4 0 1 2 5
15: 3 4 0 1 5 2
15: 3 4 0 2 1 5
18: 3 4 0 2 5 1
18: 3 4 0 5 1 2
15: 3 4 0 5 2 1
15: 3 4 1 0 2 5
18: 3 4 1 0 5 2
18: 3 4 1 2 0 5
21: 3 4 1 2 5 0
21: 3 4 1 5 0 2
18: 3 4 1 5 2 0
18: 3 4 2 0 1 5
15: 3 4 2 0 5 1
15: 3 4 2 1 0 5
18: 3 4 2 1 5 0
18: 3 4 2 5 0 1
21: 3 4 2 5 1 0
21: 3 4 5 0 1 2
18: 3 4 5 0 2 1
18: 3 4 5 1 0 2
21: 3 4 5 1 2 0
21: 3 4 5 2 0 1
24: 3 4 5 2 1 0
15: 3 5 0 1 2 4
12: 3 5 0 1 4 2
18: 3 5 0 2 1 4
15: 3 5 0 2 4 1
21: 3 5 0 4 1 2
18: 3 5 0 4 2 1
18: 3 5 1 0 2 4
15: 3 5 1 0 4 2
21: 3 5 1 2 0 4
18: 3 5 1 2 4 0
18: 3 5 1 4 0 2
21: 3 5 1 4 2 0
15: 3 5 2 0 1 4
12: 3 5 2 0 4 1
18: 3 5 2 1 0 4
15: 3 5 2 1 4 0
21: 3 5 2 4 0 1
18: 3 5 2 4 1 0
18: 3 5 4 0 1 2
15: 3 5 4 0 2 1
15: 3 5 4 1 0 2
18: 3 5 4 1 2 0
18: 3 5 4 2 0 1
21: 3 5 4 2 1 0
12: 4 0 1 2 3 5
15: 4 0 1 2 5 3
9: 4 0 1 3 2 5
12: 4 0 1 3 5 2
12: 4 0 1 5 2 3
15: 4 0 1 5 3 2
15: 4 0 2 1 3 5
12: 4 0 2 1 5 3
12: 4 0 2 3 1 5
15: 4 0 2 3 5 1
15: 4 0 2 5 1 3
18: 4 0 2 5 3 1
12: 4 0 3 1 2 5
15: 4 0 3 1 5 2
15: 4 0 3 2 1 5
18: 4 0 3 2 5 1
18: 4 0 3 5 1 2
15: 4 0 3 5 2 1
15: 4 0 5 1 2 3
18: 4 0 5 1 3 2
18: 4 0 5 2 1 3
21: 4 0 5 2 3 1
15: 4 0 5 3 1 2
18: 4 0 5 3 2 1
9: 4 1 0 2 3 5
12: 4 1 0 2 5 3
6: 4 1 0 3 2 5
9: 4 1 0 3 5 2
9: 4 1 0 5 2 3
12: 4 1 0 5 3 2
12: 4 1 2 0 3 5
15: 4 1 2 0 5 3
9: 4 1 2 3 0 5
12: 4 1 2 3 5 0
12: 4 1 2 5 0 3
15: 4 1 2 5 3 0
9: 4 1 3 0 2 5
12: 4 1 3 0 5 2
12: 4 1 3 2 0 5
15: 4 1 3 2 5 0
15: 4 1 3 5 0 2
12: 4 1 3 5 2 0
12: 4 1 5 0 2 3
15: 4 1 5 0 3 2
15: 4 1 5 2 0 3
18: 4 1 5 2 3 0
12: 4 1 5 3 0 2
15: 4 1 5 3 2 0
12: 4 2 0 1 3 5
15: 4 2 0 1 5 3
15: 4 2 0 3 1 5
18: 4 2 0 3 5 1
18: 4 2 0 5 1 3
15: 4 2 0 5 3 1
15: 4 2 1 0 3 5
18: 4 2 1 0 5 3
12: 4 2 1 3 0 5
15: 4 2 1 3 5 0
15: 4 2 1 5 0 3
18: 4 2 1 5 3 0
18: 4 2 3 0 1 5
21: 4 2 3 0 5 1
15: 4 2 3 1 0 5
18: 4 2 3 1 5 0
18: 4 2 3 5 0 1
21: 4 2 3 5 1 0
21: 4 2 5 0 1 3
18: 4 2 5 0 3 1
18: 4 2 5 1 0 3
21: 4 2 5 1 3 0
21: 4 2 5 3 0 1
18: 4 2 5 3 1 0
9: 4 3 0 1 2 5
12: 4 3 0 1 5 2
12: 4 3 0 2 1 5
15: 4 3 0 2 5 1
15: 4 3 0 5 1 2
12: 4 3 0 5 2 1
12: 4 3 1 0 2 5
15: 4 3 1 0 5 2
15: 4 3 1 2 0 5
18: 4 3 1 2 5 0
18: 4 3 1 5 0 2
15: 4 3 1 5 2 0
15: 4 3 2 0 1 5
18: 4 3 2 0 5 1
12: 4 3 2 1 0 5
15: 4 3 2 1 5 0
15: 4 3 2 5 0 1
18: 4 3 2 5 1 0
18: 4 3 5 0 1 2
15: 4 3 5 0 2 1
15: 4 3 5 1 0 2
18: 4 3 5 1 2 0
18: 4 3 5 2 0 1
21: 4 3 5 2 1 0
12: 4 5 0 1 2 3
15: 4 5 0 1 3 2
15: 4 5 0 2 1 3
18: 4 5 0 2 3 1
18: 4 5 0 3 1 2
15: 4 5 0 3 2 1
15: 4 5 1 0 2 3
18: 4 5 1 0 3 2
18: 4 5 1 2 0 3
21: 4 5 1 2 3 0
21: 4 5 1 3 0 2
18: 4 5 1 3 2 0
18: 4 5 2 0 1 3
21: 4 5 2 0 3 1
15: 4 5 2 1 0 3
18: 4 5 2 1 3 0
18: 4 5 2 3 0 1
21: 4 5 2 3 1 0
21: 4 5 3 0 1 2
18: 4 5 3 0 2 1
18: 4 5 3 1 0 2
15: 4 5 3 1 2 0
21: 4 5 3 2 0 1
24: 4 5 3 2 1 0
15: 5 0 1 2 3 4
12: 5 0 1 2 4 3
12: 5 0 1 3 2 4
15: 5 0 1 3 4 2
15: 5 0 1 4 2 3
18: 5 0 1 4 3 2
12: 5 0 2 1 3 4
9: 5 0 2 1 4 3
15: 5 0 2 3 1 4
12: 5 0 2 3 4 1
18: 5 0 2 4 1 3
15: 5 0 2 4 3 1
15: 5 0 3 1 2 4
12: 5 0 3 1 4 2
18: 5 0 3 2 1 4
15: 5 0 3 2 4 1
21: 5 0 3 4 1 2
18: 5 0 3 4 2 1
12: 5 0 4 1 2 3
15: 5 0 4 1 3 2
15: 5 0 4 2 1 3
18: 5 0 4 2 3 1
18: 5 0 4 3 1 2
15: 5 0 4 3 2 1
12: 5 1 0 2 3 4
9: 5 1 0 2 4 3
9: 5 1 0 3 2 4
12: 5 1 0 3 4 2
12: 5 1 0 4 2 3
15: 5 1 0 4 3 2
15: 5 1 2 0 3 4
12: 5 1 2 0 4 3
12: 5 1 2 3 0 4
15: 5 1 2 3 4 0
15: 5 1 2 4 0 3
18: 5 1 2 4 3 0
12: 5 1 3 0 2 4
15: 5 1 3 0 4 2
15: 5 1 3 2 0 4
18: 5 1 3 2 4 0
18: 5 1 3 4 0 2
15: 5 1 3 4 2 0
15: 5 1 4 0 2 3
18: 5 1 4 0 3 2
12: 5 1 4 2 0 3
15: 5 1 4 2 3 0
15: 5 1 4 3 0 2
18: 5 1 4 3 2 0
15: 5 2 0 1 3 4
12: 5 2 0 1 4 3
18: 5 2 0 3 1 4
15: 5 2 0 3 4 1
21: 5 2 0 4 1 3
18: 5 2 0 4 3 1
18: 5 2 1 0 3 4
15: 5 2 1 0 4 3
15: 5 2 1 3 0 4
18: 5 2 1 3 4 0
18: 5 2 1 4 0 3
21: 5 2 1 4 3 0
21: 5 2 3 0 1 4
18: 5 2 3 0 4 1
18: 5 2 3 1 0 4
15: 5 2 3 1 4 0
21: 5 2 3 4 0 1
24: 5 2 3 4 1 0
18: 5 2 4 0 1 3
21: 5 2 4 0 3 1
15: 5 2 4 1 0 3
18: 5 2 4 1 3 0
18: 5 2 4 3 0 1
21: 5 2 4 3 1 0
12: 5 3 0 1 2 4
15: 5 3 0 1 4 2
15: 5 3 0 2 1 4
12: 5 3 0 2 4 1
18: 5 3 0 4 1 2
15: 5 3 0 4 2 1
15: 5 3 1 0 2 4
18: 5 3 1 0 4 2
18: 5 3 1 2 0 4
15: 5 3 1 2 4 0
21: 5 3 1 4 0 2
18: 5 3 1 4 2 0
18: 5 3 2 0 1 4
15: 5 3 2 0 4 1
15: 5 3 2 1 0 4
18: 5 3 2 1 4 0
18: 5 3 2 4 0 1
21: 5 3 2 4 1 0
21: 5 3 4 0 1 2
18: 5 3 4 0 2 1
18: 5 3 4 1 0 2
21: 5 3 4 1 2 0
15: 5 3 4 2 0 1
18: 5 3 4 2 1 0
15: 5 4 0 1 2 3
18: 5 4 0 1 3 2
18: 5 4 0 2 1 3
21: 5 4 0 2 3 1
21: 5 4 0 3 1 2
18: 5 4 0 3 2 1
18: 5 4 1 0 2 3
21: 5 4 1 0 3 2
21: 5 4 1 2 0 3
24: 5 4 1 2 3 0
18: 5 4 1 3 0 2
21: 5 4 1 3 2 0
21: 5 4 2 0 1 3
18: 5 4 2 0 3 1
18: 5 4 2 1 0 3
21: 5 4 2 1 3 0
21: 5 4 2 3 0 1
24: 5 4 2 3 1 0
24: 5 4 3 0 1 2
21: 5 4 3 0 2 1
21: 5 4 3 1 0 2
18: 5 4 3 1 2 0
24: 5 4 3 2 0 1
27: 5 4 3 2 1 0
