21: 0 4 6 5 1 3 2
21: 0 4 6 5 2 1 3
24: 0 4 6 5 2 3 1
18: 0 4 6 5 3 1 2
21: 0 4 6 5 3 2 1
12: 0 5 1 2 3 4 6
15: 0 5 1 2 3 6 4
9: 0 5 1 2 4 3 6
18: 0 5 1 2 4 6 3
12: 0 5 1 2 6 3 4
15: 0 5 1 2 6 4 3
15: 0 5 1 3 2 4 6
18: 0 5 1 3 2 6 4
12: 0 5 1 3 4 2 6
21: 0 5 1 3 4 6 2
15: 0 5 1 3 6 2 4
18: 0 5 1 3 6 4 2
12: 0 5 1 4 2 3 6
21: 0 5 1 4 2 6 3
15: 0 5 1 4 3 2 6
18: 0 5 1 4 3 6 2
18: 0 5 1 4 6 2 3
15: 0 5 1 4 6 3 2
15: 0 5 1 6 2 3 4
18: 0 5 1 6 2 4 3
18: 0 5 1 6 3 2 4
21: 0 5 1 6 3 4 2
21: 0 5 1 6 4 2 3
18: 0 5 1 6 4 3 2
9: 0 5 2 1 3 4 6
12: 0 5 2 1 3 6 4
6: 0 5 2 1 4 3 6
15: 0 5 2 1 4 6 3
9: 0 5 2 1 6 3 4
12: 0 5 2 1 6 4 3
12: 0 5 2 3 1 4 6
15: 0 5 2 3 1 6 4
9: 0 5 2 3 4 1 6
18: 0 5 2 3 4 6 1
12: 0 5 2 3 6 1 4
15: 0 5 2 3 6 4 1
15: 0 5 2 4 1 3 6
18: 0 5 2 4 1 6 3
12: 0 5 2 4 3 1 6
21: 0 5 2 4 3 6 1
15: 0 5 2 4 6 1 3
18: 0 5 2 4 6 3 1
18: 0 5 2 6 1 3 4
21: 0 5 2 6 1 4 3
15: 0 5 2 6 3 1 4
24: 0 5 2 6 3 4 1
18: 0 5 2 6 4 1 3
21: 0 5 2 6 4 3 1
12: 0 5 3 1 2 4 6
15: 0 5 3 1 2 6 4
9: 0 5 3 1 4 2 6
18: 0 5 3 1 4 6 2
12: 0 5 3 1 6 2 4
15: 0 5 3 1 6 4 2
15: 0 5 3 2 1 4 6
18: 0 5 3 2 1 6 4
12: 0 5 3 2 4 1 6
21: 0 5 3 2 4 6 1
15: 0 5 3 2 6 1 4
18: 0 5 3 2 6 4 1
18: 0 5 3 4 1 2 6
21: 0 5 3 4 1 6 2
15: 0 5 3 4 2 1 6
24: 0 5 3 4 2 6 1
18: 0 5 3 4 6 1 2
21: 0 5 3 4 6 2 1
21: 0 5 3 6 1 2 4
24: 0 5 3 6 1 4 2
18: 0 5 3 6 2 1 4
21: 0 5 3 6 2 4 1
21: 0 5 3 6 4 1 2
24: 0 5 3 6 4 2 1
9: 0 5 4 1 2 3 6
18: 0 5 4 1 2 6 3
12: 0 5 4 1 3 2 6
15: 0 5 4 1 3 6 2
15: 0 5 4 1 6 2 3
12: 0 5 4 1 6 3 2
12: 0 5 4 2 1 3 6
21: 0 5 4 2 1 6 3
15: 0 5 4 2 3 1 6
18: 0 5 4 2 3 6 1
18: 0 5 4 2 6 1 3
15: 0 5 4 2 6 3 1
15: 0 5 4 3 1 2 6
18: 0 5 4 3 1 6 2
